Название,Дисциплина,Место,Дата,Ссылка
Зимний фан-марафон,MTB XCM,"Слюдорудник, Челябинская обл.",15 февраля,https://vk.com/velo_sluda
Всероссийские соревнования по велокроссу,Велокросс,"Псебай, Краснодарский край",14–17 февраля,https://fvsr.ru/professionals/calendar
Smolensk Energy Cross Cup #3,Велокросс,Смоленск,23 февраля,https://vk.com/unostrossii
Всероссийские соревнования по велокроссу,Велокросс,"Псебай, Краснодарский край",28 февраля — 3 марта,https://fvsr.ru/professionals/calendar
Веломарафон SnowCherry,MTB XCM,"Вишневогорск, Челябинская обл.",8 марта,https://adventure.probike.info/
Велодвиж «Бешеное Колесо» (1 этап),MTB,"Владивосток, Приморский край",1–31 марта,https://orgeo.ru/event/madwheeldv261
Gran Fondo Uptrip. Март 2026,Гран Фондо,"Владивосток, Приморский край",1–31 марта,https://orgeo.ru/event/gfu_march26
ВелоСветлячки 2026,Велофлешмоб,"Парк Победы, Владивосток",28 марта,https://orgeo.ru/event/velolightvdk26
Чемпионат Смоленской области,Гравел,Смоленск,5 апреля,https://vk.com/unostrossii
Сириус Автодром,Шоссе,"Сириус, Краснодарский край",3–5 апреля,https://events.topliga.ru/event/SiriusAutodrom2026/
Велодвиж «Бешеное Колесо» (2 этап),MTB,"Владивосток, Приморский край",1–30 апреля,https://orgeo.ru/event/madwheeldv262
Фестиваль ВЕЛО-РАЙ,MTB,"СОЛ «Меридиан», Пенза",18–19 апреля,https://orgeo.ru/event/veloray2026
Dark Race,MTB ночная гонка,Курган,25 апреля,https://orgeo.ru/event/dark_race
Первый этап МВМ,MTB XCM,"СК «Альфа-Битца», Москва",25 апреля,https://reg.place/events/1perviy-etap-mvm-2026
Кубок Слюдорудника (гонка в гору + XCO + XCM),MTB,"Кыштым/Слюдорудник, Челябинская обл.",1–3 мая,https://orgeo.ru/event/49574
Марафон Победы,MTB,"Партизанск, Приморский край",2 мая,https://orgeo.ru/event/45856
Весенний марафон,MTB XCM,"Кыштым, Челябинская обл.",3 мая,https://orgeo.ru/event/49584
Мангазея ТРИ ГОРЫ (весна),Шоссе / горная велогонка,"Красная Поляна, Сочи",9–11 мая,https://events.topliga.ru/event/3mountains26/
Шоссейно-кольцевые гонки. Кубок Казани,Шоссе (кольцо),"Казань, Татарстан",16–17 мая,https://orgeo.ru/event/shosse2026
Велогонка «Крылатские холмы»,Шоссе (раздельный старт),"Крылатское, Москва",23 мая,https://cyclingrace.ru/
1-й этап Tri Niti Cup / Marzocchi Cup,MTB XCO,"Красногорск, Московская обл.",24 мая,https://cup.marzocchi.ru/registratsiya/
Marzocchi Junior Cup,MTB XCO (юниоры),"Красногорск, Московская обл.",24 мая,https://cup.marzocchi.ru/tournaments/tourns_5.html
Велогонка «Садовое кольцо»,Шоссе (групповая),"Москва, Садовое кольцо",24 мая,https://cyclingrace.ru/sadovoe-koltco
ХСО «Муравейник»,MTB XCO,"Озёрск, Челябинская обл.",23 мая,https://orgeo.ru/event/49553
Большой марафон,MTB XCM,"Кыштым, Челябинская обл.",24 мая,https://orgeo.ru/event/49572
Gran Fondo Волоколамск,Шоссе Гран Фондо,"Волоколамск, Московская обл.",31 мая,https://www.granfondo.ru/event/125963/
Просторы Ветра (1),Велозаезд,"Уссурийск, Приморский край",23 мая,https://orgeo.ru/event/46934
Giro D'Ingria,Шоссе (командная гонка),Санкт-Петербург,6–7 июня,https://cyclingrace.ru/
ГАБО веломарафон,MTB XCM,Подмосковье,6 июня,https://reg.place/events/2gabo-velomarathon-2026
Веломарафон «Красспорт»,Шоссе/Гравел,Емельяново — Красноярск,~6 июня,https://krasmarafon.ru/
2-й этап Tri Niti Cup,MTB XCO,"д. Головино, лыжбаза Истина, Истра",7 июня,https://cup.marzocchi.ru/registratsiya/
Orbea Junior Cup,MTB XCO (юниоры),"д. Головино, Московская обл.",7 июня,https://cup.marzocchi.ru/tournaments/tourns_6.html
5 дней ветра,Многодневка MTB,"Озеро Белё, Хакасия",7–12 июня,https://ilovesupersport.ru/blog/kalendar-velogonok-2026
3-й этап Tri Niti Cup,MTB XCO,"д. Филино, ОУСЦ «Планерная», Московская обл.",21 июня,https://cup.marzocchi.ru/registratsiya/
Wilier Trophy Junior Cup,MTB XCO (юниоры),"ОУСЦ «Планерная», Московская обл.",21 июня,https://cup.marzocchi.ru/tournaments/tourns_7.html
ХСО «Кросс-Кантри Краснотурьинск»,MTB XCO,"Краснотурьинск, Свердловская обл.",20 июня,https://orgeo.ru/event/50648
Гонка в гору «Иовское плато Конжака»,MTB Гонка в гору,"Краснотурьинск, Свердловская обл.",21 июня,https://orgeo.ru/event/50649
Царь Грейдер,Гравел (180/250 км),Новгородская область,~21 июня,https://fatracing.ru/tsargravel/
Gran Fondo Бородино,Шоссе Гран Фондо,"Бородино, Московская обл.",21 июня,https://www.granfondo.ru/
Чемпионат России по шоссейному велоспорту,Шоссе,Иннополис / Казань,25–29 июня,https://sport-teams.ru/calendar/chempionat-rossii-po-shossejnomu-velosportu-rossiya-kazan
Просторы Ветра (2),Велозаезд,"Уссурийск, Приморский край",27 июня,https://orgeo.ru/event/46935
Sportmaster PRO Fest – МВМ веломарафон,MTB XCM,"Доброград, Владимирская обл.",4 июля,https://smprofest.ru/
Gran Fondo Переславль,Шоссе Гран Фондо,"Переславль-Залесский, Ярославская обл.",12 июля,https://www.granfondo.ru/
Веломарафон «Янтарный» 1200 км (бревет),Бревет / Шоссе,Калининград,16–20 июля,https://orgeo.ru/event/51077
Gran Fondo Тула + Дубна,Шоссе Гран Фондо,Тула + Дубна,25–26 июля,https://www.granfondo.ru/
Ступинский веломарафон,MTB XCM,"п. Белопесоцкий, Московская обл.",26 июля,https://reg.place/events/4stupinskiy-velomarathon-2026
